id,tenses.0,tenses.1,tenses.2,tenses.3,sentences.0,sentences.1
679,disgrace,,,,I would not want to die in disgrace; I need to make amends with everybody.,
680,disguise,,,,The famous actor wore a disguise to the restaurant so no one would recognize him.,
681,dishonest,,,,I am not being dishonest when I say that everybody thinks you're the smartest person here.,
682,dismiss,,,,"I could dismiss your work since it was turned in late, but I won't.",
683,disobey,,,,"If you disobey me again, I will have to tell your mother.",
684,disorder,disorderly,,,The room was in complete disorder when I entered but I've straightened everything up now.,
685,dispensary,dispense,,,Go to the camp dispensary and get some aspirin.,
686,display,displaying,,,I am planning on displaying your work in this corner if you approve.,
687,displeasure,,,,She showed her displeasure with your being late to the board meeting.,
688,dispose,,,,Let's dispose of the trash and then pack up all our stuff.,
689,dispute,,,,"I cannot dispute your logic, but I do not accept your premises.",
690,dissolve,,,,The chemist could dissolve the compound in water but we wouldn't be able to see it.,
691,distance,,,,What is the distance between your house and mine?,
692,distinct,,,,Her features were very distinct. I could pick her out of any crowd.,
693,distinctive,,,,There was a very distinctive odor in the air.,
694,distinguish,distinguished,,,The gentleman looks very distinguished with his gray sideburns.,
695,distress,,,,Don't distress; we will be able to get you out of there.,
696,district,,,,To which district of town were you assigned to patrol?,
697,disturb,,,,I don't want to disturb his sleep but this is important.,
698,divine,,,,You could tell the character was divine because she had a halo above her head.,
699,divisible,,,,"Is 10,257 divisible by 13?",
700,division,,,,I hate doing long division on paper so I use my calculator.,
701,divorce,divorced,,,My parents are divorced but they're still friends.,
702,do,,,,Do not ever go to that area of town; it's dangerous.,
703,doctor,,,,Go tell the doctor that her patients are waiting.,
704,doctrine,,,,The doctrine of the church mandates that no one may be left poor and hungry.,
705,does,do,,,I'm sorry but he does not know anything about economics.,
706,doesn't,does not,,,"That doesn't mean that you will be accepted, simply that you will be evaluated.",
707,dog,,,,How many breeds of dogs will be in that contest?,
708,dollar,,,,"Dollar for dollar, the value at that grocery is much better.",
709,domestic,,,,I am more interested in domestic social issues than ones with foreign countries.,
710,don't,do not,,,Don't ever let me see you frowning again; we must look happy.,
711,done,do,did,,The work has been done so we can finally go to a late lunch.,
712,donkeys,,,,I like to ride donkeys at the fair because they are sweet animals.,
713,door,,,,Please close the door after coming in.,
714,dormitory,,,,My college dormitory had public kitchens on every floor.,
715,double,,,,If you double my income I will triple my work output.,
716,doubt,,,,Do you seriously doubt that I can talk her into coming with us?,
717,doubtful,,,,It's extremely doubtful that it will rain today so I'm not taking an umbrella.,
718,downstairs,,,,Let's go downstairs and see what kind of books they have.,
719,downtown,,,,I'd like to go downtown by subway but I don't want to walk too far.,
720,dozen,,,,On our anniversary my husband bought me a dozen red roses.,
721,draftsman,,,,We will need a draftsman to work up a plan for the building.,
722,drank,drink,drunk,,We drank margaritas out by the riverfront.,
723,dreadful,,,,Your cough sounds dreadful; are you taking anything for it?,
724,dream,,,,I had a dream about you last night; you were wearing pajamas at our business meeting!,
725,dress,,,,If all the kids dress alike we will be able to keep them together better.,
726,drink,,,,Maybe I should make you a stiff drink to calm your nerves.,
727,drowned,,,,"Sadly, the poor cat drowned because the water was too rapid.",
728,drowsy,,,,This medicine makes me feel so drowsy that I think I'll have to take a nap.,
729,druggist,,,,Druggists can often be quite knowledgeable but in this case I'd ask a doctor.,
730,drunk,,,,"After we'd drunk the rest of the gallon of milk, we went out to get more.",
731,due,,,,"Due to his unhealthy state, we thought we shouldn't make him upset.",
732,duffel,,,,I have always wanted a duffel bag to carry my athletic clothes in.,
733,duke,,,,He was a duke of some district in England but I forget which.,
734,duly,,,,"If you duly elect me, I will carry out all my campaign promises.",
735,duplicate,,,,Is this sheet a duplicate or is it the original?,
736,dyeing,dye,,,I feel like doing something wild like dyeing my hair green.,
737,eager,,,,I am very eager to help so just tell me where to start.,
738,eagle,,,,Eagles fly higher than that other kind of bird.,
739,ear,,,,Lend me your ear and I'll tell you a tale of happiness.,
740,early,,,,I want to rise early in the morning because I like to hear the birds sing and the frogs rivet.,
741,earnest,earnestly,,,"In earnest, I don't want to prevent you from stating your opinions.",
742,earth,,,,The earth is the perfect distance from the sun to support life forms.,
743,earthquake,,,,California seems to have lots of earthquakes but not that many tornadoes.,
744,ease,,,,"If it will ease your mental anguish, I'll explain why I had to prevent her from coming.",
745,easily,easy,,,"We could easily not take him up on his offer, but why wouldn't we want to?",
746,eat,ate,eaten,,Sam can't eat pork because it's against his religion.,
747,eaten,eat,,,"Not having eaten all day, I think I would like a huge steak!",
748,echoes,echo,,,That mountain causes sounds to echo; it's pretty cool.,
749,economy,,,,The economy is explained on television in terms of numbers but there are easier ways to understand it.,
750,edge,,,,I'm on the edge of my seat waiting for you to answer!,
751,edited,,,,I have edited that article but it needs another revision in light of the new information.,
752,edition,,,,How many editions of that newspaper have been put out?,
753,editor,,,,I spoke with the editor of the magazine about adding a new column on social issues.,
754,educate,,,,Why don't we educate our children to realize smoking is bad for their health?,
755,education,,,,The education system needs a complete overhaul.,
756,educator,,,,He is an educator in the field of astronomy.,
757,effect,effects,,,What are the effects of governmental regulations of the marketplace?,
758,effort,,,,You have put in a mighty effort for this project; we appreciate it.,
759,egg,eggs,,,"I'd like eggs, bacon, and grits for breakfast.",
760,eight,,,,Some people are lucky enough to work only an eight-hour day.,
761,eighteen,,,,Eighteen is the age when most people believe they are adults.,
762,eighth,,,,"If we had an eighth day in the week, maybe we could accomplish more.",
763,eighty,,,,He was eighty years old but didn't look a day over sixty.,
764,either,,,,"Either we allow Susan to participate or we don't, but we must decide now.",
765,elated,,,,He was elated to hear that his wife had had the baby.,
766,election,,,,"When we get the election results, I don't want you to have a stroke.",
767,electric,,,,I like using an electric blanket in the winter time.,
768,electrician,,,,We will need to get an electrician to come in and figure out our wiring problems.,
769,electricity,,,,Are you getting any electricity to that connection over there?,
770,electronic,,,,The invention of electronic media has completely revamped the commercial industry.,
771,elegant,,,,She looked very elegant in her new ballgown.,
772,elementary,,,,Solving that problem is elementary my dear Watson.,
773,elephant,,,,"When I go to the circus, the elephants are my favorite animals to watch.",
774,eleventh,,,,In the eleventh grade will you have learned how to use computers yet?,
775,elsewhere,,,,"We could go elsewhere, but this is my favorite restaurant.",
776,emblem,,,,What does the emblem on your lapel signify?,
777,embrace,embraced,,,He gave me a warm embrace when I first entered the room.,
778,embroider,,,,I could embroider your initials on all your shirts if you'd like.,
779,emergency,,,,"In an emergency, I am usually pretty calm, unlike Ms. Singletary.",
780,emigrate,emigrated,,,"If you had your druthers, would you emigrate from this country?",
781,emperor,,,,Would you say that an emperor or a king has more power in general?,
782,empire,,,,Do you know that's one of the largest empires in the world?,
783,employee,,,,I have been an employee at the company for almost 27 years.,
784,employer,,,,Does your employer demand you to work all those long hours?,
785,employment,,,,Are you seeking part-time or full-time employment with our company?,
786,empty,,,,"When I finally had a chance to look for and find the basket, it was empty.",
787,enclose,enclosed,enclosure,,We would like to enclose this area here to make a nice sized backyard.,
788,encounter,,,,Have you encountered any UFOs in your air travels?,
789,encourage,,,,I would like to encourage everyone to pay attention to my memorandums.,
790,end,,,,"In the end, everything works out for the best.",
791,endeavor,endeavored,endeavors,,I wish you the best of luck in all your future endeavors.,
792,enemy,,,,He acts like an enemy in public but in private he's very sweet.,
793,energy,,,,I'm sorry but I just don't have the energy to accompany you to the theater.,
794,engage,,,,I don't want to engage in politics but I am interested in the campaign.,
795,engine,,,,My car's engine is making a funny noise these days. I wonder what the problem is.,
796,engineer,,,,"Are you an electrical engineer, chemical engineer, software engineer, or what?",
797,English,,,,The English language comes in many varieties including American and British.,
798,engraver,engrave,,,The engraver etched their names in the silver tray.,
799,enjoy,enjoyed,enjoyable,,"We could not enjoy the festivities unless you were there, of course.",
800,enlarging,enlarge,enlarged,,Are you enlarging the picture to be published in that magazine?,
801,enormous,,,,The bag was enormous; I couldn't have carried it on my own.,
802,enough,,,,Enough is enough; don't talk to me any more about that subject.,
803,enter,,,,"He would like to enter your premises but he needs your permission, of course.",
804,entertain,,,,How does one entertain themselves in this small village?,
805,entertainment,,,,"The entertainment tonight is something special, including a magician's act.",
806,entirely,,,,"It is entirely up to you, but I would prefer to go somewhere else.",
807,entitle,entitled,,,You are entitled to speak your opinion but you cannot monopolize the conversation.,
808,entrance,,,,Where is the entrance to this place? There is too much shrubbery to find it.,
809,envelope,,,,"If we each took a stack of envelopes to address, the job would be done quickly.",
810,equipment,,,,My athletic equipment is stored in this locker.,
811,equipped,,,,She would have been equipped to speak on that subject but was not invited to the meeting.,
812,eraser,,,,Don't use an eraser here as it will damage the paper.,
813,erasure,,,,How much evidence of erasures was found?,
814,errand,,,,I would like you to run a couple errands for me if you have the time.,
815,error,,,,Am I in error or do you admit you were not there that day?,
816,escape,,,,The convicts planned their escape from prison but never carried it off.,
817,especially,,,,I am especially interested in hearing your views on the Middle East.,
818,establish,,,,"If we could just establish good relations with the ambassador, we could begin solving the country's problems.",
819,esteem,,,,He holds you in high esteem so don't think that bad remark could have come from him.,
820,estimate,,,,What is your estimate of arrival time?,
821,eternal,,,,They say souls are eternal but what evidence is there?,
822,Europe,,,,"I'd love us to visit all of Europe, or at least Italy and France.",
823,evening,,,,"One evening, why don't you come over and we'll make plans for our book?",
824,every,,,,Every once in a while I like to switch hands that I use with the computer mouse so I don't stress my right hand.,
825,everybody,,,,Everybody has arrived; we can start the wedding ceremony.,
826,everyone,,,,"If everyone would donate $20, we'd have enough to cover the balance.",
827,everything,,,,I leave everything up to you; it's your 'show'.,
828,everywhere,,,,Everywhere I go I see poverty-stricken homeless people.,
829,evidence,,,,There is significant evidence indicating that humans are related to apes.,
830,exact,,,,What is your exact name? I'd like to put it on this certificate correctly.,
831,examination,,,,The teacher administered the examination to all students who had completed the lab hours.,
832,examine,,,,If you examine your premises you will find that one is invalid.,
833,examiner,,,,The examiner was careful not to show the answers to any of the people taking the exam.,
834,example,,,,What is an example of a long-beaked bird with few feathers?,
835,exceed,,,,Do not exceed the speed limit because the police monitor the highways.,
836,excel,,,,I would like to think you would excel in physics but I'm not sure about your math skills.,
837,excellent,,,,The movie was an excellent example of something that's funny but not intellectual.,
838,except,,,,"Except for John, everyone has finished their meals.",
839,exception,,,,Are there any exceptions to the rules?,
840,excess,,,,I've created an excess of frosting. Do you want to make another cake?,
841,exchange,,,,"I'd like to exchange this size 10 dress for a size 12 dress, please.",
842,excite,excitement,excited,,It really excites me to think that you may move to our fair city.,
843,exclaim,exclaimed,,,"All of a sudden, she exclaimed that she'd never seen him before in her life.",
844,exclusive,,,,Is this an exclusive club or can anyone join?,
845,excuse,,,,"Excuse me, but you are standing on my foot.",
846,execute,,,,"After you execute those orders, I have plenty more for you.",
847,executive,,,,"This is a meeting only for executives of the company, so secretaries are not allowed.",
848,exercise,,,,The professor gave each person a different exercise to carry out.,
849,exhausted,,,,You look exhausted. Was the trip really that difficult?,
850,exhibit,,,,If you can exhibit sufficient skills we will most likely hire you.,
851,exhilarate,exhilarated,,,I feel exhilarated after our evening walk. Now I'm able to continue working.,
852,exile,,,,"The dictator was exiled from their country, never to return again.",
853,existence,,,,I would like to cure cancer right out of existence.,
854,exorbitant,,,,They spent exorbitant sums of money in Paris.,
855,expatriated,,,,The president was expatriated after the horrible human rights violations were acknowledged.,
856,expect,,,,We would expect you to first give your speech before talking with the attendees.,
857,expedition,,,,The expedition was a success because they discovered Florida.,
858,expelled,expel,,,The student was expelled from school for three weeks for bad behavior.,
859,expense,,,,I have lots of business expenses so I keep a log handy at all times.,
860,experience,,,,"It has been my experience that nobody listens, yet everybody talks.",
861,explain,,,,"Can you explain why you said she was there, yet she says she was somewhere else?",
862,explanation,,,,I want to give an explanation about why I never call you in the evenings.,
863,explore,,,,We should explore the possible causes of housing shortages in this city.,
864,export,,,,Does your country export agricultural products to the US?,
865,expose,exposed,,,I had never been exposed to the measles before today.,
866,expression,,,,His expression could be interpreted as anger.,
867,extension,,,,Please give me an extension on payment; I promise to pay as soon as possible.,
868,external,,,,"Because no one here is qualified for the job, we will have to search external to the company.",
869,extraordinary,,,,He has extraordinary abilities but how did he acquire them?,
870,extreme,,,,We must look at the two extreme cases and then we can figure out what's in-between.,
871,extremely,,,,I am extremely hot. May we please turn on the air conditioner?,
872,exultation,,,,You could sense a feeling of exultation from the kids as soon as Mrs. Rigsby showed up.,
873,eye,,,,"On the eves of April 30th, we used to make home-made baskets from paper and on May 1st we'd fill them with flowers and give them to neighbors.",
874,face,,,,Her face was very pale after I asked her if she had ever seen the boy before.,
875,fact,,,,"In fact, the couple is never seen in public together.",
876,factory,,,,Would you rather keep working at the shoe factory or get a job in the big city?,
877,failure,,,,There was a failure with plumbing so I had to call a plumber.,
878,faith,,,,I have faith in your ability to write a good speech.,
879,faithful,,,,He is a faithful church-goer but I still wonder about his honesty.,
880,fall,,,,"If you fall, we may have trouble getting you down the ski slope to medical help.",
881,fallen,,,,I've fallen and I can't get up!,
882,familiar,,,,This group is not familiar with that philosophical concept; could you explain?,
883,family,families,,,Everyone in my family lives in a different state.,
884,famine,,,,There was rampant famine; that's clear. But what was the ultimate cause?,
885,famous,,,,"His famous last words were, 'Give me liberty or give me death.'",
886,farewell,,,,Let's say our farewell's and then hop in the car to go.,
887,fashion,,,,"Her sister was in the fashion industry but she knew nothing about sewing, herself.",
888,fast,faster,,,He thinks he can run fast but we'll have to enter him in a contest to find out the truth.,
889,fasten,,,,Fasten your seatbelts; it's going to be a bumpy ride.,
890,fatal,,,,What was used to make the fatal blow to her head?,
891,father,,,,My father first noticed my mother when they were in history class in high school.,
892,faucet,,,,I have a leaky faucet but I don't know how to fix it.,
893,fault,,,,It's not your fault that no one showed up.,
894,favorable,favor,favored,,That candidate is favorable to us because he tends to vote similarly to our group's wishes.,
895,favorite,,,,Who is your favorite rock musician?,
896,fear,feared,,,I fear that we will never see him again.,
897,feasible,,,,Do you think it's feasible that we can get there in ten hours?,
898,feast,,,,My grandmother proceeded to prepare a veritable feast before our eyes.,
899,feather,,,,She felt as light as a feather but couldn't float like one.,
900,feature,featured,,,I would like your article to be the feature for this month's issue.,
901,February,,,,It's the month of February that is so cold.,
902,federal,,,,The federal government should be downsized.,
903,feeble,,,,My great-grandfather was very feeble in his last years.,
904,feel,felt,feeling,,"I feel fine, now that I've had some soup.",
905,fell,fall,fallen,,The tree branch fell on our roof in the storm.,
906,fellow,,,,Is that fellow going to come with you or are you coming alone?,
907,felt,,,,I have never felt better in my life.,
908,female,,,,Is the child a female or a male?,
909,feminine,,,,She always wears very feminine clothes and lots of makeup.,
910,fertile,,,,The ground is fertile because of the nutrients left from last year's crop.,
911,fertilizer,,,,"After we started using the fertilizer, our crops started growing faster and higher.",
912,festival,,,,We plan to attend the outdoor jazz festival but I just hope it doesn't rain.,
913,fidelity,,,,Marital fidelity is an issue often discussed in church.,
914,field,,,,We visited the field of lilies and the aroma was breathtaking.,
915,fierce,,,,I wouldn't want to stand opposite a fierce rival but I could handle a friend.,
916,fiery,,,,Her eyes were fiery after she found out about being left out of the plans.,
917,fifteen,,,,Some states allow teenagers of fifteen to drive; others don't allow them to drive until sixteen.,
918,fight,fought,,,He would rather stay and fight the bureaucracy than to give in.,
919,figure,figured,,,I have figured out that everyone will have a chance to attend the play.,
920,film,filmed,,,"If you would have filmed the movie in Hawaii, do you think it would be more authentic?",
921,finally,,,,I can finally say that I have finished my taxes.,
922,finance,,,,If we could just get a bank to finance our loan then we could continue making progress.,
923,financial,,,,Hong Kong is currently considered a financial capital of the world.,
924,find,found,finding,,I cannot find my glasses. Have you seen them?,
925,finger,,,,Put your finger over this hole and then blow on the flute mouthpiece.,
926,finish,,,,I cannot seem to finish this product but I suppose I eventually will.,
927,fire,,,,Evidence indicates that ancient humans discovered fire first in Africa.,
928,firm,,,,Don't take the bowl out of the refrigerator until the consistency of the pudding is firm.,
929,fish,fishing,,,I would love to go catch fish with you whenever you go.,
930,fix,,,,Tony could fix that flat tire for you if you want.,
931,fixture,,,,Have you ever seen such a lovely light fixture?,
932,flannel,,,,I have lots of flannel shirts so I stay warm in the winter.,
933,flatter,,,,"I am not trying to flatter you, only tell the truth as I understand it.",
934,flavor,,,,"What flavor of ice cream would you like, chocolate or vanilla?",
935,flight,,,,"If you tell me which flight you will be taking, I will meet you at the airport.",
936,floor,,,,My office is on the eighteenth floor.,
937,florist,,,,Don't get flowers at that florist; they're too expensive.,
938,flourish,,,,I would like your ideas to flourish so I'm allotting you plenty of time to speak to the group.,
939,flower,,,,"Which flower do you like the best, rose or daisy?",
940,fluid,,,,The doctor said my son needs to drink plenty of fluids and get lots of bed rest.,
941,flutter,,,,The wings of hummingbirds flutter faster than all other birds.,
942,following,,,,Following the lecture we will have a coffee get-together.,
943,food,,,,I guess you know that there will be lots of good food at the carnival.,
944,foot,feet,,,My right foot is swollen from walking so far.,
945,forcible,force,forcibly,,How much force will it take to push the cart over the terrain?,
946,forehead,,,,If you put a cold compress on your forehead it should relieve the tension you feel.,
947,foreign,foreigner,,,Their customs were foreign to me yet we were able to communicate somewhat.,
948,foreman,,,,"Who is the foreman on this project, the one in charge?",
949,foremost,,,,The foremost issue to resolve is how we will get the necessary signatures to get on the ballot.,
950,forest,,,,You can't see the forest for the trees; you are too close to the issue to see the big picture.,
951,forge,,,,We know we must forge ahead even though the weather is ominous.,
952,forger,,,,He was an expert forger of signatures and got caught.,
953,forgive,forgave,forgiven,,I would like to forgive you for your despicable act but are you sorry you did it?,
954,form,formed,forming,,We would have formed a new chapter of the organization but we didn't have the necessary information to do so.,
955,forsake,forsaken,forsook,,Why have you forsaken me? Have I not followed all your wishes?,
956,forth,,,,"Then he said, go forth and do harm no more.",
957,fortunate,,,,It is certainly fortunate that you weren't in the car when it got hit.,
958,fortunately,,,,Fortunately we never had bad weather during the beach parties.,
959,fortune,,,,He made a fortune in real estate; that's the only place to make real money.,
960,forty,,,,When I turned forty I was actually in the prime of my life.,
961,forward,,,,I look forward to your moving to Chicago; we'll have a lot of fun.,
962,fought,fight,,,"They fought a good battle, but couldn't win the war.",
963,found,find,,,"I have found that if you talk to the right people, you can make a difference in any organization.",
964,foundation,,,,It was a charitable foundation so they couldn't be involved in politics.,
965,fountain,,,,We would like to have a fountain whose water could be fed by the pond.,
966,fourteen,,,,"We have ten over here, but if we create four more, we'll have fourteen, and that should be enough.",
967,fourth,,,,"I am the fourth and youngest kid, so I was always considered the baby of the family.",
968,freedom,,,,I need the freedom to create the art of my heart.,
969,freeze,freezing,frozen,,I believe the water won't freeze in that freezer because the temperatures aren't low enough.,
970,freight,,,,How much freight do you have to carry across state lines?,
971,frequent,frequently,frequented,,I receive frequent calls from solicitors so I now have an unlisted phone number.,
972,Friday,,,,We will be having a fish fry this Friday. Can you come?,
973,fried,,,,I love fried chicken but I don't know how to cook it.,
974,friend,,,,My very best friend is visiting the city today.,
975,friendly,,,,She was very friendly but had a hard time talking with Sarah.,
976,frighten,frightening,,,The monster costume could frighten the younger children. Maybe you shouldn't wear it.,
977,frivolous,,,,"I don't consider my efforts on the computer to be frivolous, but very necessary.",
978,front,,,,Am I supposed to wear this buckle in the front of my dress or the back?,
979,frown,,,,"When you frown, you frown alone; when you smile, the world smiles with you.",
980,frozen,freeze,,,If the popcycles are frozen we can serve them to the kids.,
981,fruit,,,,"I love fruit, especially bananas, apricots, and pears.",
982,fuel,,,,How much fuel will this lawn mower take to mow my lawn for one month?,
983,fulfill,fulfills,fulfilled,,"My family fulfills my life, unlike some of my friends.",
984,fully,,,,"If you have fully understood the directions, then you shouldn't be asking me these questions.",
985,funeral,,,,We attended the funeral of my husband's grandmother yesterday.,
986,funny,,,,A funny thing happened on the way to the store; let me tell you about it.,
987,furious,,,,My mother was furious that I didn't return for four hours.,
988,furnace,,,,"If the furnace had been turned on at 8:00, then it would already be nice and warm in here.",
989,furnish,,,,I can furnish you with a list of names of the people who attended my high school.,
990,furniture,,,,We would like to buy brand-new furniture for our den when we can afford it.,
991,furrier,,,,"If your dog is not furrier than mine, why does your house have more dog hair all around?",
992,further,,,,"The further you go down the street, the more blue houses you'll see.",
993,furry,fur,,,I like a long coat that's furry inside.,
994,futility,,,,The futility of your speaking approach has been clear to all of us for some time.,
995,future,,,,What do you see as the future of plastics?,
996,gallery,,,,"We visited the cutest art gallery in the village, the day before yesterday.",
997,gallon,,,,"How many quarts make up a gallon? Four, of course.",
998,gallop,,,,My horse can gallop at a pretty fast pace but he gets tired very fast.,
999,game,,,,My children play a game called Go Fish all day long.,
1000,garage,,,,We would like a house with a two-car garage if that's possible.,
1001,garbage,,,,"Honey, take out the garbage, please.",
1002,garden,,,,I've planted lots of vegetables in my garden this year so I hope the weather is good.,
1003,gardener,,,,I knew a gardener once who also taught a class on growing flowers on terraces.,
1004,garment,,,,The garment industry does very well in China. You could say they clothe my country!,
1005,gasoline,,,,Do they add taxes to gasoline to raise revenue or to lessen the desire to buy gas?,
1006,gave,give,giving,,I gave a donation to the environmental organization yesterday.,
1007,general,,,,The general discussion has been economics but the specific topic has been monopolies.,
1008,generally,,,,"Generally I don't swim, but I sure did today at the beach.",
1009,generation,,,,Your generation is too conservative to understand the youth's ideas.,
1010,generous,,,,Your mother was very generous to make all the costumes for the play.,
1011,genius,,,,You are a genius to figure out the answer to that problem!,
1012,gentle,,,,The boy was very gentle when playing with the kitten.,
1013,gentleman,,,,"Frankly, I do not consider you to be a gentleman for talking of such subjects!",
1014,genuine,,,,She had a genuine interest in learning to sew but it just wasn't her forte.,
1015,geography,,,,"When you studied geography, did you learn the capitals of all the states?",
1016,get,got,getting,,Did you get the letter I mailed last week?,
1017,ghost,,,,I thought I saw a ghost but it was just Leroy with a sheet over his head.,
1018,girl,,,,Was the baby a girl or a boy?,
1019,give,,,,I should give you my opinion on the subject of how to fund a new political party.,
1020,given,,,,She has given you every opportunity to prove your innocence but you have not done so.,
1021,glass,,,,"I would like a glass of water, please.",
1022,glazier,glaziers,,,Do you think the glaziers will melt from global warming?,
1023,glitter,,,,Margaret put glitter all over the hat she made in school.,
1024,glorious,,,,"Today has been a glorious day, what with the visits from family and all.",
1025,go,,,,"Then he said, go and sin no more.",
1026,goddess,,,,She was so arrogant you would think she was a goddess or something.,
1027,goes,go,went,going,There he goes again making that awful noise.,
1028,goggles,,,,I would have thought all airplane pilots wore goggles in those days.,
1029,gold,,,,Do you have any idea what the price of gold is today?,
1030,gone,,,,I could have gone to the party with him but I wasn't feeling very well.,
1031,goose,geese,,,Geese can be used on farms just like dogs because they make a lot of noise when strangers arrive.,
1032,gorgeous,,,,Your new house is gorgeous. Did you make all the curtains yourself?,
1033,gospel,,,,The gospel according to Maximillian has been documented in this book.,
1034,got,,,,They got angry when I walked in the meeting 45 minutes late.,
1035,government,,,,Do you think the government should enact a law to disallow swimming in this lake?,
1036,governor,,,,He was a newly elected governor so he hadn't yet formed an official opinion on the bill.,
1037,gown,,,,Her gown was a lovely teal color for the spring ball.,
1038,graceful,,,,She moves so gracefully that I wonder if she has studied modeling.,
1039,gracious,,,,You have been a gracious host. Thank you for inviting me.,
1040,gradual,gradually,,,The incline to the museum was gradual so we walked.,
1041,graduate,,,,I plan to graduate from college as soon as I finish my last year in my major field of study.,
1042,grammar,,,,I understand the grammar of the French language but I'm not very good at pronunciation.,
1043,grass,,,,Everyone thinks the grass is greener on the other side of the fence.,
1044,grasshopper,,,,There was a huge grasshopper in my house today.,
1045,grateful,,,,He was very grateful that I had helped him study for his final exams.,
1046,gratitude,,,,Her gratitude was only surpassed by her elation of being there.,
1047,grease,,,,I only cook in vegetable grease but that's probably not good for me either.,
1048,great,,,,The acting was great but the script was not very well written.,
1049,greedy,greed,,,Would you say that she was greedy for not wanting to share her cookies?,
1050,greet,,,,"I greet you, dear people, with sincere appreciation for your coming.",
1051,grew,grow,grown,,The plant grew and grew until one day it was taller than me!,
1052,grief,,,,People show their grief in many different ways; not all cry.,
1053,grievance,,,,If you have a grievance with our company you will need to take it up with a customer service representative.,
1054,grieve,,,,She does not grieve like others; she must be totally alone to get over a tragedy.,
1055,groan,,,,I groan every time I see homeless person; I want a solution to this problem.,
1056,grocery,groceries,,,Would you like me to go to the grocery store for you?,
1057,group,,,,I started a group that meets to discuss environmental problems.,
1058,grow,,,,I have tried to grow tomatoes before but I can't seem to get the hang of it.,
1059,grown,,,,She has grown into a lovely young woman.,
1060,growth,,,,The growth of the automobile industry has been due in part to cheaper metals.,
1061,guarantee,,,,I cannot guarantee that you will understand everything but you will learn a lot.,
1062,guard,,,,I stay on my guard in case someone tries to break in.,
1063,guardian,,,,The child's guardian did not allow her to attend public school.,
1064,guess,,,,It is my guess that no one will try to ask you questions but one never knows.,
1065,guest,,,,If I invite you to the resort as my special guest will you come?,
1066,guide,,,,I would like to hire a guide to take us to the best fishing areas.,
1067,guilt,,,,I have figured out how to live a guilt-free life.,
1068,guilty,,,,Was the accused found innocent or guilty?,
1069,gutter,,,,I have asked him to install a new gutter across the front so the rain will be dispersed.,
1070,gymnasium,,,,They had a big room that served as both gymnasium and cafeteria.,
1071,had,have,,,I have had it with you. Don't call me any more!,
1072,hair,,,,I would like to get my hair done at the new beauty shop.,
1073,half,,,,If you'll cut the sandwiches in half I'll get the drinks ready to serve.,
1074,hall,,,,"If you don't ever go down that hall, how do you know it's crowded?",
1075,hammer,,,,I need to return that hammer to my neighbor after I use it on this birdhouse.,
1076,hand,,,,Your hand is huge compared to mine yet you are able to type faster.,
1077,handkerchief,,,,She had a beautiful handkerchief in her purse that looked hand stitched.,
1078,handle,,,,I can't seem to push the handle down on this machine.,
1079,handling,,,,They have been handling the book binding duties while I handle the administration.,
1080,handsome,,,,He was very handsome but had no wife.,
1081,happen,happens,,,I happen to have stumbled upon the records explaining your involvement with the group.,
1082,happiness,,,,Happiness is the most important thing in life.,
1083,happy,,,,"If you are happy and you know it, then it shows.",
1084,hard,,,,It is so hard to find decent employees these days.,
1085,hardly,,,,He hardly touched his dinner; is he sick?,
1086,hardware,,,,My grandfather owned a hardware store and sold all kinds of farm supplies too.,
1087,harmony,,,,We need harmony in the community and I think it's possible to achieve.,
1088,harness,,,,Harness the wagon and we'll get moving on to the next town.,
1089,harvest,harvested,,,We had such a terrible harvest last year but it should be better this year.,
1090,hasten,,,,I hasten to add that you should never talk to him when he's in a bad mood.,
1091,hat,,,,I must wear a hat in the sun or I get sunburnt.,
1092,hatred,,,,The hatred between the families was obvious but what could we do?,
1093,haughty,,,,Your brother is so haughty that I have a difficult time talking to him.,
1094,have,,,,We have three courses to offer you.,
1095,having,,,,You seem to be having a good day. Are you feeling better?,
1096,head,,,,Put the bow on the dog's head just before she goes on stage.,
1097,heading,,,,You will be heading down the road to disaster if you don't stop your bad habits.,
1098,health,,,,Health is so important but everyone needs to decide what plan is best for themselves.,
1099,healthy,,,,She had a healthy baby boy yesterday.,
1100,hear,heard,,,We hear that you aren't interested in our school. Why is that?,
1101,heard,,,,I have heard that you want the position to be offered to you. Is that true?,
1102,heart,,,,Have a heart; don't litter in my yard.,
1103,heartily,,,,We heartily offer to finish the project for you.,
1104,heat,,,,You could have a heat stroke with these high temperatures.,
1105,heaven,,,,Some people believe that heaven is where the angels live.,
1106,heavy,,,,I need a heavy cream with which to make ice cream.,
1107,hedge,,,,There was a long hedge between our yards so I couldn't see what they were doing over there.,
1108,height,,,,What is your height. About six foot?,
1109,heir,,,,"I will name an intellectual heir this year, someone who believes as strongly as I in the same causes.",
1110,held,hold,,,We have held meetings here for the past ten years.,
1111,hello,,,,Tell Louie hello for me when you see him.,
1112,help,,,,I can't help you with your campaign but I could edit your materials.,
1113,henceforth,,,,Henceforth we will not allow people to jog on the grass.,
1114,here,,,,"Here, let me help you with your homework.",
1115,hereafter,,,,Hereafter I plan to at least use my spell-checker on all papers.,
1116,hereby,,,,I hereby declare you to be the new president of our charitable foundation.,
1117,heretofore,,,,Heretofore we have never allowed newcomers to voice an opinion.,
